Active users,New users,Message rate,Media sharing,Spam ratio,User sentiment,Server load,Time of day,Latency,Bandwidth usage,Traffic state,Optimal Route,Message type
21997,100,548,0.45,0.14,negative,26,Afternoon,105,143.38,High,Route C,text
30117,1252,3778,0.42,0.04,neutral,38,Evening,37,222.51,Low,Route A,image
2119,77,42,0.06,0.04,positive,11,Morning,27,27.92,Medium,Route C,text
13507,1344,2605,0.29,0.01,positive,13,Afternoon,74,114.84,High,Route A,text
22076,58,1758,0.13,0.01,positive,39,Morning,95,149.4,High,Route B,text
28356,1883,4644,0.51,0.14,negative,50,Evening,46,245.22,Low,Route A,text
32239,1123,1094,0.33,0.08,neutral,45,Morning,53,220.84,Low,Route A,text
25091,1721,1139,0.52,0.07,neutral,41,Morning,64,176.44,Medium,Route A,text
37776,127,7308,0.14,0.03,positive,57,Afternoon,121,278.22,High,Route C,text
34508,3434,4920,0.15,0.1,neutral,35,Evening,180,247.41,High,Route C,image
19114,98,1844,0.12,0.12,negative,32,Evening,42,126.92,Medium,Route A,text
9174,558,420,0.53,0.04,positive,24,Night,104,104.93,High,Route C,text
18078,334,1958,0.39,0.04,neutral,19,Night,138,143.79,High,Route C,image
32484,1959,1969,0.3,0.1,negative,30,Evening,49,203.96,High,Route C,spam
39243,3467,1835,0.13,0.1,negative,58,Morning,35,232.46,Low,Route A,image
48263,980,7801,0.56,0.04,positive,67,Night,41,368.09,Medium,Route B,video
49623,4073,7163,0.3,0.24,negative,78,Evening,113,347.28,Medium,Route C,video
9862,735,1690,0.3,0.12,negative,10,Morning,69,106.86,High,Route C,video
5085,56,147,0.52,0.05,positive,10,Morning,79,69.42,High,Route C,text
4497,142,511,0.58,0.02,positive,10,Morning,91,68.73,High,Route A,image
29374,1523,5600,0.34,0.13,negative,34,Morning,51,235.94,Medium,Route A,image
21340,1831,2695,0.58,0.06,neutral,35,Morning,80,206.09,High,Route A,text
30241,2120,4653,0.42,0.12,negative,35,Morning,29,233.32,Low,Route A,text
30427,263,5950,0.58,0.05,neutral,56,Evening,45,283.14,Low,Route A,text
48139,2173,5073,0.1,0.06,neutral,64,Morning,52,294.88,Medium,Route C,video
27001,2146,5143,0.5,0.13,negative,33,Evening,52,236.39,Medium,Route B,text
14492,1334,727,0.55,0.05,positive,21,Night,109,120.8,High,Route C,text
43077,372,2516,0.18,0.14,negative,50,Morning,62,268.48,Low,Route A,spam
17523,530,2182,0.06,0.15,negative,28,Night,112,108.76,High,Route A,image
10446,33,2026,0.55,0.02,positive,14,Morning,35,143.89,Low,Route A,image
32078,2021,4575,0.45,0.03,positive,42,Evening,130,234.4,High,Route C,text
1999,77,154,0.51,0.22,negative,10,Evening,76,57.16,High,Route C,text
41832,2838,2152,0.41,0.04,positive,51,Night,89,286.85,High,Route A,text
1551,100,262,0.5,0.1,negative,16,Morning,60,72.05,Medium,Route A,text
